shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
SHAPE_VJA_012,16.5189,80.6232,1
SHAPE_VJA_012,16.508,80.64,2
SHAPE_VJA_012,16.5075,80.643,3
SHAPE_VJA_012,16.4979,80.6537,4
SHAPE_VJA_012,16.4951,80.6611,5
SHAPE_VJA_012,16.4895,80.6695,6
SHAPE_VJA_012,16.474,80.695,7
SHAPE_VJA_012,16.4761,80.7068,8
SHAPE_VJA_012,16.468,80.733,9
SHAPE_VJA_013,16.5189,80.6232,1
SHAPE_VJA_013,16.508,80.64,2
SHAPE_VJA_013,16.5075,80.643,3
SHAPE_VJA_013,16.4979,80.6537,4
SHAPE_VJA_013,16.4951,80.6611,5
SHAPE_VJA_013,16.4895,80.6695,6
SHAPE_VJA_013,16.474,80.695,7
SHAPE_VJA_013,16.4761,80.7068,8
SHAPE_VJA_013,16.455,80.745,9
SHAPE_VJA_014,16.528,80.608,1
SHAPE_VJA_014,16.5205,80.6135,2
SHAPE_VJA_014,16.522,80.615,3
SHAPE_VJA_014,16.519,80.617,4
SHAPE_VJA_014,16.517,80.62,5
SHAPE_VJA_014,16.5155,80.625,6
SHAPE_VJA_014,16.5135,80.628,7
SHAPE_VJA_014,16.51,80.633,8
SHAPE_VJA_014,16.516,80.635,9
SHAPE_VJA_014,16.5175,80.638,10
SHAPE_VJA_014,16.519,80.641,11
SHAPE_VJA_014,16.5195,80.644,12
SHAPE_VJA_014,16.518,80.6465,13
SHAPE_VJA_014,16.5205,80.648,14
SHAPE_VJA_014,16.5185,80.6489,15
SHAPE_VJA_014,16.517,80.651,16
SHAPE_VJA_014,16.515,80.654,17
SHAPE_VJA_014,16.513,80.657,18
SHAPE_VJA_014,16.511,80.66,19
SHAPE_VJA_014,16.5095,80.662,20
SHAPE_VJA_014,16.507,80.665,21
SHAPE_VJA_014,16.5045,80.668,22
SHAPE_VJA_014,16.5015,80.671,23
SHAPE_VJA_014,16.4985,80.674,24
SHAPE_VJA_014,16.5241,80.6767,25
SHAPE_VJA_014,16.504,80.652,26
SHAPE_VJA_014,16.4979,80.6537,27
SHAPE_VJA_014,16.4951,80.6611,28
SHAPE_VJA_014,16.4907,80.6709,29
SHAPE_VJA_015,16.509,80.591,1
SHAPE_VJA_015,16.5205,80.6135,2
SHAPE_VJA_015,16.522,80.615,3
SHAPE_VJA_015,16.519,80.617,4
SHAPE_VJA_015,16.517,80.62,5
SHAPE_VJA_015,16.5155,80.625,6
SHAPE_VJA_015,16.5135,80.628,7
SHAPE_VJA_015,16.51,80.633,8
SHAPE_VJA_015,16.516,80.635,9
SHAPE_VJA_015,16.5175,80.638,10
SHAPE_VJA_015,16.519,80.641,11
SHAPE_VJA_015,16.5195,80.644,12
SHAPE_VJA_015,16.518,80.6465,13
SHAPE_VJA_015,16.5205,80.648,14
SHAPE_VJA_015,16.5185,80.6489,15
SHAPE_VJA_015,16.517,80.651,16
SHAPE_VJA_015,16.515,80.654,17
SHAPE_VJA_015,16.513,80.657,18
SHAPE_VJA_015,16.511,80.66,19
SHAPE_VJA_015,16.5095,80.662,20
SHAPE_VJA_015,16.507,80.665,21
SHAPE_VJA_015,16.5045,80.668,22
SHAPE_VJA_015,16.5015,80.671,23
SHAPE_VJA_015,16.4985,80.674,24
SHAPE_VJA_015,16.5241,80.6767,25
SHAPE_VJA_015,16.504,80.652,26
SHAPE_VJA_015,16.4979,80.6537,27
SHAPE_VJA_015,16.4951,80.6611,28
SHAPE_VJA_015,16.4907,80.6709,29
SHAPE_VJA_016,16.575,80.61,1
SHAPE_VJA_016,16.498,80.625,2
SHAPE_VJA_017,16.57,80.59,1
SHAPE_VJA_017,16.5213,80.6287,2
SHAPE_VJA_018,16.498,80.641,1
SHAPE_VJA_018,16.5095,80.662,2
SHAPE_VJA_019,16.5205,80.6135,1
SHAPE_VJA_019,16.51682274422698,80.64968251376207,2
SHAPE_VJA_020,16.497,80.631,1
SHAPE_VJA_020,16.4309,80.5804,2
SHAPE_VJA_021,16.5205,80.6135,1
SHAPE_VJA_021,16.5195,80.618,2
SHAPE_VJA_021,16.508,80.64,3
SHAPE_VJA_021,16.5075,80.643,4
SHAPE_VJA_021,16.4979,80.6537,5
SHAPE_VJA_021,16.4951,80.6611,6
SHAPE_VJA_021,16.4895,80.6695,7
SHAPE_VJA_021,16.474,80.695,8
SHAPE_VJA_021,16.4761,80.7068,9
SHAPE_VJA_021,16.468,80.733,10
SHAPE_VJA_022,16.5189,80.6232,1
SHAPE_VJA_022,16.508,80.64,2
SHAPE_VJA_022,16.5075,80.643,3
SHAPE_VJA_022,16.4979,80.6537,4
SHAPE_VJA_022,16.4951,80.6611,5
SHAPE_VJA_022,16.4895,80.6695,6
SHAPE_VJA_022,16.474,80.695,7
SHAPE_VJA_022,16.4761,80.7068,8
SHAPE_VJA_022,16.4675,80.7279,9
SHAPE_VJA_023,16.5205,80.6135,1
SHAPE_VJA_023,16.5195,80.618,2
SHAPE_VJA_023,16.508,80.64,3
SHAPE_VJA_023,16.5075,80.643,4
SHAPE_VJA_023,16.4979,80.6537,5
SHAPE_VJA_023,16.4951,80.6611,6
SHAPE_VJA_023,16.4895,80.6695,7
SHAPE_VJA_023,16.474,80.695,8
SHAPE_VJA_023,16.4761,80.7068,9
SHAPE_VJA_023,16.46,80.74,10
SHAPE_VJA_024,16.532,80.605,1
SHAPE_VJA_024,16.5205,80.6135,2
SHAPE_VJA_024,16.5195,80.618,3
SHAPE_VJA_024,16.508,80.64,4
SHAPE_VJA_024,16.5075,80.643,5
SHAPE_VJA_024,16.4979,80.6537,6
SHAPE_VJA_024,16.4951,80.6611,7
SHAPE_VJA_024,16.4907,80.6709,8
SHAPE_VJA_025,16.511,80.619,1
SHAPE_VJA_025,16.5189,80.6232,2
SHAPE_VJA_025,16.506764143531438,80.65210446548424,3
SHAPE_VJA_025,16.512,80.637,4
SHAPE_VJA_025,16.4979,80.6537,5
SHAPE_VJA_025,16.504,80.652,6
SHAPE_VJA_025,16.508,80.654,7
SHAPE_VJA_025,16.5156,80.6699,8
SHAPE_VJA_025,16.5241,80.6767,9
SHAPE_VJA_025,16.516084737830923,80.66371813787887,10
SHAPE_VJA_025,16.514179382288276,80.66648912895248,11
SHAPE_VJA_025,16.5189,80.6232,12
SHAPE_VJA_025,16.511,80.619,13
SHAPE_VJA_026,16.511,80.619,1
SHAPE_VJA_026,16.5189,80.6232,2
SHAPE_VJA_026,16.507429645062373,80.66684159343521,3
SHAPE_VJA_026,16.51140454820301,80.65725062840667,4
SHAPE_VJA_026,16.5241,80.6767,5
SHAPE_VJA_026,16.508,80.654,6
SHAPE_VJA_026,16.504,80.652,7
SHAPE_VJA_026,16.4979,80.6537,8
SHAPE_VJA_026,16.512,80.637,9
SHAPE_VJA_026,16.5189,80.6232,10
SHAPE_VJA_026,16.511,80.619,11
SHAPE_VJA_027,16.5205,80.6135,1
SHAPE_VJA_027,16.4907,80.6709,2
SHAPE_VJA_028,16.528,80.608,1
SHAPE_VJA_028,16.5205,80.6135,2
SHAPE_VJA_028,16.5195,80.618,3
SHAPE_VJA_028,16.517,80.62,4
SHAPE_VJA_028,16.508,80.64,5
SHAPE_VJA_028,16.5075,80.643,6
SHAPE_VJA_028,16.4979,80.6537,7
SHAPE_VJA_028,16.4951,80.6611,8
SHAPE_VJA_028,16.4907,80.6709,9
SHAPE_VJA_029,16.528,80.608,1
SHAPE_VJA_029,16.5205,80.6135,2
SHAPE_VJA_029,16.5195,80.618,3
SHAPE_VJA_029,16.517,80.62,4
SHAPE_VJA_029,16.508,80.64,5
SHAPE_VJA_029,16.5075,80.643,6
SHAPE_VJA_029,16.4979,80.6537,7
SHAPE_VJA_029,16.4951,80.6611,8
SHAPE_VJA_029,16.4907,80.6709,9
SHAPE_VJA_029,16.4839,80.6862,10
SHAPE_VJA_029,16.4798,80.6979,11
SHAPE_VJA_030,16.532,80.605,1
SHAPE_VJA_030,16.5205,80.6135,2
SHAPE_VJA_030,16.5195,80.618,3
SHAPE_VJA_030,16.517,80.62,4
SHAPE_VJA_030,16.508,80.64,5
SHAPE_VJA_030,16.5075,80.643,6
SHAPE_VJA_030,16.4979,80.6537,7
SHAPE_VJA_030,16.4951,80.6611,8
SHAPE_VJA_030,16.4907,80.6709,9
SHAPE_VJA_031,16.498,80.641,1
SHAPE_VJA_031,16.4907,80.6709,2
SHAPE_VJA_032,16.5189,80.6232,1
SHAPE_VJA_032,16.5195,80.618,2
SHAPE_VJA_032,16.5022,80.6333,3
SHAPE_VJA_032,16.4841,80.6192,4
SHAPE_VJA_032,16.4309,80.5804,5
SHAPE_VJA_032,16.4,80.56,6
SHAPE_VJA_033,16.5205,80.6135,1
SHAPE_VJA_033,16.5195,80.618,2
SHAPE_VJA_033,16.5022,80.6333,3
SHAPE_VJA_033,16.4841,80.6192,4
SHAPE_VJA_033,16.4309,80.5804,5
SHAPE_VJA_033,16.42,80.575,6
SHAPE_VJA_034,16.5189,80.6232,1
SHAPE_VJA_034,16.5195,80.618,2
SHAPE_VJA_034,16.5022,80.6333,3
SHAPE_VJA_034,16.4841,80.6192,4
SHAPE_VJA_034,16.4309,80.5804,5
SHAPE_VJA_035,16.485,80.655,1
SHAPE_VJA_035,16.507166800325233,80.65157996407801,2
SHAPE_VJA_036,16.4907,80.6709,1
SHAPE_VJA_036,16.508,80.64,2
SHAPE_VJA_036,16.595,80.695,3
SHAPE_VJA_037,16.4907,80.6709,1
SHAPE_VJA_037,16.508,80.64,2
SHAPE_VJA_037,16.498,80.641,3
SHAPE_VJA_038,16.5205,80.6135,1
SHAPE_VJA_038,16.5195,80.618,2
SHAPE_VJA_038,16.595,80.695,3
SHAPE_VJA_039,16.5205,80.6135,1
SHAPE_VJA_039,16.51,80.71,2
SHAPE_VJA_040,16.5205,80.6135,1
SHAPE_VJA_040,16.5195,80.618,2
SHAPE_VJA_040,16.505,80.72,3
SHAPE_VJA_041,16.5189,80.6232,1
SHAPE_VJA_041,16.518229406356568,80.65359791791762,2
SHAPE_VJA_041,16.521588736973076,80.65752600474178,3
SHAPE_VJA_041,16.5241,80.6767,4
SHAPE_VJA_041,16.508,80.654,5
SHAPE_VJA_041,16.504,80.652,6
SHAPE_VJA_041,16.4979,80.6537,7
SHAPE_VJA_041,16.4951,80.6611,8
SHAPE_VJA_041,16.4907,80.6709,9
SHAPE_VJA_042,16.5205,80.6135,1
SHAPE_VJA_042,16.5195,80.618,2
SHAPE_VJA_042,16.512,80.637,3
SHAPE_VJA_042,16.4979,80.6537,4
SHAPE_VJA_042,16.4951,80.6611,5
SHAPE_VJA_042,16.4901,80.6715,6
SHAPE_VJA_042,16.4839,80.6862,7
SHAPE_VJA_042,16.474,80.695,8
SHAPE_VJA_043,16.5189,80.6232,1
SHAPE_VJA_043,16.5195,80.618,2
SHAPE_VJA_043,16.512,80.637,3
SHAPE_VJA_043,16.4979,80.6537,4
SHAPE_VJA_043,16.4951,80.6611,5
SHAPE_VJA_043,16.4901,80.6715,6
SHAPE_VJA_043,16.4839,80.6862,7
SHAPE_VJA_043,16.474,80.695,8
SHAPE_VJA_044,16.5205,80.6135,1
SHAPE_VJA_044,16.5195,80.618,2
SHAPE_VJA_044,16.515,80.67,3
SHAPE_VJA_044,16.5241,80.6767,4
SHAPE_VJA_045,16.5189,80.6232,1
SHAPE_VJA_045,16.515,80.67,2
SHAPE_VJA_045,16.52558408669304,80.66060611021804,3
SHAPE_VJA_046,16.521,80.612,1
SHAPE_VJA_046,16.5195,80.618,2
SHAPE_VJA_046,16.515,80.67,3
SHAPE_VJA_046,16.4761,80.7068,4
SHAPE_VJA_047,16.521,80.612,1
SHAPE_VJA_047,16.5195,80.618,2
SHAPE_VJA_047,16.508,80.64,3
SHAPE_VJA_047,16.4761,80.7068,4
SHAPE_VJA_048,16.5205,80.6135,1
SHAPE_VJA_048,16.545,80.585,2
SHAPE_VJA_049,16.5205,80.6135,1
SHAPE_VJA_049,16.51445792113201,80.65954555180778,2
SHAPE_VJA_049,16.5106,80.7164,3
SHAPE_VJA_049,16.54,80.8,4
SHAPE_VJA_050,16.5205,80.6135,1
SHAPE_VJA_050,16.5189,80.6232,2
SHAPE_VJA_050,16.53,80.63,3
SHAPE_VJA_051,16.5189,80.6232,1
SHAPE_VJA_051,16.5075,80.643,2
SHAPE_VJA_051,16.4979,80.6537,3
SHAPE_VJA_051,16.4951,80.6611,4
SHAPE_VJA_051,16.4895,80.6695,5
SHAPE_VJA_051,16.4839,80.6862,6
SHAPE_VJA_051,16.4761,80.7068,7
SHAPE_VJA_051,16.44,80.73,8
SHAPE_VJA_052,16.5205,80.6135,1
SHAPE_VJA_052,16.5195,80.618,2
SHAPE_VJA_052,16.5075,80.643,3
SHAPE_VJA_052,16.4979,80.6537,4
SHAPE_VJA_052,16.4951,80.6611,5
SHAPE_VJA_052,16.4895,80.6695,6
SHAPE_VJA_052,16.4839,80.6862,7
SHAPE_VJA_052,16.4761,80.7068,8
SHAPE_VJA_052,16.44,80.73,9
SHAPE_VJA_053,16.508,80.668,1
SHAPE_VJA_053,16.4979,80.6537,2
SHAPE_VJA_053,16.47,80.71,3
SHAPE_VJA_054,16.5205,80.6135,1
SHAPE_VJA_054,16.5195,80.618,2
SHAPE_VJA_054,16.508,80.64,3
SHAPE_VJA_054,16.4821,80.6914,4
SHAPE_VJA_054,16.487,80.695,5
SHAPE_VJA_055,16.5205,80.6135,1
SHAPE_VJA_055,16.5189,80.6232,2
SHAPE_VJA_055,16.5195,80.618,3
SHAPE_VJA_055,16.508,80.64,4
SHAPE_VJA_055,16.4821,80.6914,5
SHAPE_VJA_055,16.487,80.695,6
SHAPE_VJA_056,16.62,80.53,1
SHAPE_VJA_056,16.5195,80.618,2
SHAPE_VJA_056,16.508,80.64,3
SHAPE_VJA_056,16.4979,80.6537,4
SHAPE_VJA_056,16.4907,80.6709,5
SHAPE_VJA_057,16.62,80.53,1
SHAPE_VJA_057,16.5195,80.618,2
SHAPE_VJA_057,16.515,80.67,3
SHAPE_VJA_057,16.5106,80.7164,4
SHAPE_VJA_058,16.517466086720884,80.66632463673584,1
SHAPE_VJA_058,16.5195,80.618,2
SHAPE_VJA_058,16.508,80.64,3
SHAPE_VJA_058,16.4979,80.6537,4
SHAPE_VJA_058,16.4821,80.6914,5
SHAPE_VJA_058,16.47,80.71,6
SHAPE_VJA_059,16.5189,80.6232,1
SHAPE_VJA_059,16.55,80.6,2
SHAPE_VJA_060,16.5205,80.6135,1
SHAPE_VJA_060,16.508,80.64,2
SHAPE_VJA_060,16.47,80.71,3
SHAPE_VJA_061,16.62,80.53,1
SHAPE_VJA_061,16.515,80.67,2
SHAPE_VJA_061,16.54,80.8,3
SHAPE_VJA_062,16.5205,80.6135,1
SHAPE_VJA_062,16.5195,80.618,2
SHAPE_VJA_062,16.518168758343826,80.64861216500731,3
SHAPE_VJA_063,16.5205,80.6135,1
SHAPE_VJA_063,16.5195,80.618,2
SHAPE_VJA_063,16.51909056538623,80.6670382937051,3
SHAPE_VJA_064,16.5205,80.6135,1
SHAPE_VJA_064,16.52,80.59,2
SHAPE_VJA_065,16.5205,80.6135,1
SHAPE_VJA_065,16.51,80.75,2
SHAPE_VJA_066,16.5205,80.6135,1
SHAPE_VJA_066,16.52,80.76,2
SHAPE_VJA_067,16.5205,80.6135,1
SHAPE_VJA_067,16.525,80.77,2
SHAPE_VJA_068,16.5205,80.6135,1
SHAPE_VJA_068,16.53,80.79,2
SHAPE_VJA_069,16.5205,80.6135,1
SHAPE_VJA_069,16.5195,80.618,2
SHAPE_VJA_069,16.508,80.64,3
SHAPE_VJA_069,16.48,80.74,4
SHAPE_VJA_070,16.5205,80.6135,1
SHAPE_VJA_070,16.5195,80.618,2
SHAPE_VJA_070,16.508,80.64,3
SHAPE_VJA_070,16.47,80.75,4
SHAPE_VJA_071,16.5205,80.6135,1
SHAPE_VJA_071,16.5195,80.618,2
SHAPE_VJA_071,16.508,80.64,3
SHAPE_VJA_071,16.3476,80.7795,4
SHAPE_VJA_072,16.5205,80.6135,1
SHAPE_VJA_072,16.5195,80.618,2
SHAPE_VJA_072,16.508,80.64,3
SHAPE_VJA_072,16.46,80.76,4
SHAPE_VJA_073,16.5205,80.6135,1
SHAPE_VJA_073,16.53,80.8,2
SHAPE_VJA_074,16.5205,80.6135,1
SHAPE_VJA_074,16.524781491977624,80.65095587345024,2
SHAPE_VJA_075,16.5205,80.6135,1
SHAPE_VJA_075,16.525864228668304,80.65376517223514,2
SHAPE_VJA_076,16.5205,80.6135,1
SHAPE_VJA_076,16.52,80.78,2
SHAPE_VJA_077,16.5189,80.6232,1
SHAPE_VJA_077,16.535,80.62,2
SHAPE_VJA_078,16.521206678757828,80.64942060486293,1
SHAPE_VJA_078,16.55,80.58,2
SHAPE_VJA_079,16.5205,80.6135,1
SHAPE_VJA_079,16.51,80.64,2
SHAPE_VJA_080,16.5205,80.6135,1
SHAPE_VJA_080,16.5195,80.618,2
SHAPE_VJA_080,16.508,80.64,3
SHAPE_VJA_080,16.3651,80.8424,4
SHAPE_VJA_081,16.5205,80.6135,1
SHAPE_VJA_081,16.5195,80.618,2
SHAPE_VJA_081,16.508,80.64,3
SHAPE_VJA_081,16.48,80.75,4
SHAPE_VJA_082,16.507959707375775,80.65683850445545,1
SHAPE_VJA_082,16.51,80.65,2
SHAPE_VJA_083,16.5205,80.6135,1
SHAPE_VJA_083,16.5,80.77,2
SHAPE_VJA_084,16.47,80.71,1
SHAPE_VJA_084,16.54,80.8,2
SHAPE_VJA_085,16.53,80.79,1
SHAPE_VJA_085,16.508,80.64,2
SHAPE_VJA_085,16.47,80.71,3
SHAPE_VJA_086,16.5205,80.6135,1
SHAPE_VJA_086,16.5195,80.618,2
SHAPE_VJA_086,16.508,80.64,3
SHAPE_VJA_086,16.4761,80.7068,4
SHAPE_VJA_086,16.44,80.75,5
SHAPE_VJA_087,16.5205,80.6135,1
SHAPE_VJA_087,16.5195,80.618,2
SHAPE_VJA_087,16.5241,80.6767,3
SHAPE_VJA_087,16.54,80.8,4
SHAPE_VJA_087,16.555,80.82,5
SHAPE_VJA_088,16.5205,80.6135,1
SHAPE_VJA_088,16.5195,80.618,2
SHAPE_VJA_088,16.508,80.64,3
SHAPE_VJA_088,16.4979,80.6537,4
SHAPE_VJA_088,16.5241,80.6767,5
SHAPE_VJA_088,16.54,80.8,6
SHAPE_VJA_088,16.555,80.82,7
SHAPE_VJA_089,16.5189,80.6232,1
SHAPE_VJA_089,16.525580515449512,80.66364430853586,2
SHAPE_VJA_089,16.508,80.64,3
SHAPE_VJA_089,16.3934,80.8142,4
SHAPE_VJA_090,16.5062,80.648,1
SHAPE_VJA_090,16.54,80.57,2
SHAPE_VJA_091,16.5062,80.648,1
SHAPE_VJA_091,16.5,80.6,2
SHAPE_VJA_091,16.49,80.61,3
SHAPE_VJA_092,16.5062,80.648,1
SHAPE_VJA_092,16.595,80.695,2
SHAPE_VJA_092,16.65,80.78,3
SHAPE_VJA_092,16.785,80.8488,4
SHAPE_VJA_093,16.512933525050176,80.65327132876631,1
SHAPE_VJA_093,16.5062,80.648,2
SHAPE_VJA_093,16.57,80.55,3
SHAPE_VJA_094,16.50642456191097,80.66215974129545,1
SHAPE_VJA_094,16.54,80.57,2
SHAPE_VJA_094,16.57,80.55,3
SHAPE_VJA_094,16.54,80.56,4
SHAPE_VJA_094,16.5062,80.648,5
SHAPE_VJA_095,16.5205,80.6135,1
SHAPE_VJA_095,16.323,80.9576,2
SHAPE_VJA_096,16.5062,80.648,1
SHAPE_VJA_096,16.54,80.56,2
SHAPE_VJA_097,16.5189,80.6232,1
SHAPE_VJA_097,16.5213,80.6287,2
SHAPE_VJA_097,16.523,80.66,3
SHAPE_VJA_097,16.5241,80.6767,4
SHAPE_VJA_097,16.4979,80.6537,5
SHAPE_VJA_097,16.4761,80.7068,6
SHAPE_VJA_097,16.47,80.71,7
