trip_id,arrival_time,departure_time,stop_id,stop_sequence
TRIP_VJA_003,08:00:00,08:01:00,100034,21
TRIP_VJA_003,08:03:00,08:04:00,100035,22
TRIP_VJA_003,08:06:00,08:07:00,100036,23
TRIP_VJA_003,08:09:00,08:10:00,100037,24
TRIP_VJA_004,06:00:00,06:01:00,100038,1
TRIP_VJA_004,06:03:00,06:04:00,100039,2
TRIP_VJA_005,06:00:00,06:01:00,100040,1
TRIP_VJA_005,06:03:00,06:04:00,100041,2
TRIP_VJA_006,06:00:00,06:01:00,100042,1
TRIP_VJA_006,06:03:00,06:04:00,100043,2
TRIP_VJA_007,06:00:00,06:01:00,100040,1
TRIP_VJA_007,06:03:00,06:04:00,100003,2
TRIP_VJA_007,06:06:00,06:07:00,100015,3
TRIP_VJA_007,06:09:00,06:10:00,100016,4
TRIP_VJA_007,06:12:00,06:13:00,100017,5
TRIP_VJA_007,06:15:00,06:16:00,100044,6
TRIP_VJA_007,06:18:00,06:19:00,100020,7
TRIP_VJA_007,06:21:00,06:22:00,100045,8
TRIP_VJA_007,06:24:00,06:25:00,100046,9
TRIP_VJA_007,06:27:00,06:28:00,100007,10
TRIP_VJA_007,07:30:00,07:31:00,100008,11
TRIP_VJA_007,07:33:00,07:34:00,100047,12
TRIP_VJA_008,06:00:00,06:01:00,100003,1
TRIP_VJA_008,06:03:00,06:04:00,100015,2
TRIP_VJA_008,06:06:00,06:07:00,100016,3
TRIP_VJA_008,06:09:00,06:10:00,100017,4
TRIP_VJA_008,06:12:00,06:13:00,100044,5
TRIP_VJA_008,06:15:00,06:16:00,100020,6
TRIP_VJA_008,06:18:00,06:19:00,100045,7
TRIP_VJA_008,06:21:00,06:22:00,100046,8
TRIP_VJA_008,06:24:00,06:25:00,100048,9
TRIP_VJA_008,06:27:00,06:28:00,100047,10
TRIP_VJA_009,06:00:00,06:01:00,100049,1
TRIP_VJA_009,06:03:00,06:04:00,100017,2
TRIP_VJA_009,06:06:00,06:07:00,100044,3
TRIP_VJA_009,06:09:00,06:10:00,100020,4
TRIP_VJA_009,06:12:00,06:13:00,100045,5
TRIP_VJA_009,06:15:00,06:16:00,100046,6
TRIP_VJA_009,06:18:00,06:19:00,100048,7
TRIP_VJA_009,06:21:00,06:22:00,100047,8
TRIP_VJA_010,06:00:00,06:01:00,100038,1
TRIP_VJA_010,06:03:00,06:04:00,100005,2
TRIP_VJA_010,06:06:00,06:07:00,100006,3
TRIP_VJA_010,06:09:00,06:10:00,100007,4
TRIP_VJA_010,06:12:00,06:13:00,100008,5
TRIP_VJA_010,06:15:00,06:16:00,100009,6
TRIP_VJA_010,06:18:00,06:19:00,100050,7
TRIP_VJA_011,06:00:00,06:01:00,100042,1
TRIP_VJA_011,06:03:00,06:04:00,100003,2
TRIP_VJA_011,06:06:00,06:07:00,100051,3
TRIP_VJA_011,06:09:00,06:10:00,100017,4
TRIP_VJA_011,06:12:00,06:13:00,100005,5
TRIP_VJA_011,06:15:00,06:16:00,100006,6
TRIP_VJA_011,06:18:00,06:19:00,100007,7
TRIP_VJA_011,06:21:00,06:22:00,100008,8
TRIP_VJA_011,06:24:00,06:25:00,100009,9
TRIP_VJA_011,06:27:00,06:28:00,100052,10
TRIP_VJA_012,06:00:00,06:01:00,100004,1
TRIP_VJA_012,06:03:00,06:04:00,100005,2
TRIP_VJA_012,06:06:00,06:07:00,100006,3
TRIP_VJA_012,06:09:00,06:10:00,100007,4
TRIP_VJA_012,06:12:00,06:13:00,100008,5
TRIP_VJA_012,06:15:00,06:16:00,100009,6
TRIP_VJA_012,06:18:00,06:19:00,100013,7
TRIP_VJA_012,06:21:00,06:22:00,100011,8
TRIP_VJA_012,06:24:00,06:25:00,100053,9
TRIP_VJA_013,06:00:00,06:01:00,100004,1
TRIP_VJA_013,06:03:00,06:04:00,100005,2
TRIP_VJA_013,06:06:00,06:07:00,100006,3
TRIP_VJA_013,06:09:00,06:10:00,100007,4
TRIP_VJA_013,06:12:00,06:13:00,100008,5
TRIP_VJA_013,06:15:00,06:16:00,100009,6
TRIP_VJA_013,06:18:00,06:19:00,100013,7
TRIP_VJA_013,06:21:00,06:22:00,100011,8
TRIP_VJA_013,06:24:00,06:25:00,100054,9
TRIP_VJA_014,06:00:00,06:01:00,100042,1
TRIP_VJA_014,06:03:00,06:04:00,100003,2
TRIP_VJA_014,06:06:00,06:07:00,100015,3
TRIP_VJA_014,06:09:00,06:10:00,100016,4
TRIP_VJA_014,06:12:00,06:13:00,100017,5
TRIP_VJA_014,06:15:00,06:16:00,100018,6
TRIP_VJA_014,06:18:00,06:19:00,100019,7
TRIP_VJA_014,06:21:00,06:22:00,100020,8
TRIP_VJA_014,06:24:00,06:25:00,100021,9
TRIP_VJA_014,06:27:00,06:28:00,100022,10
TRIP_VJA_014,07:30:00,07:31:00,100023,11
TRIP_VJA_014,07:33:00,07:34:00,100024,12
TRIP_VJA_014,07:36:00,07:37:00,100025,13
TRIP_VJA_014,07:39:00,07:40:00,100026,14
TRIP_VJA_014,07:42:00,07:43:00,100027,15
TRIP_VJA_014,07:45:00,07:46:00,100028,16
TRIP_VJA_014,07:48:00,07:49:00,100029,17
TRIP_VJA_014,07:51:00,07:52:00,100030,18
TRIP_VJA_014,07:54:00,07:55:00,100031,19
TRIP_VJA_014,07:57:00,07:58:00,100032,20
TRIP_VJA_014,08:00:00,08:01:00,100033,21
TRIP_VJA_014,08:03:00,08:04:00,100034,22
TRIP_VJA_014,08:06:00,08:07:00,100035,23
TRIP_VJA_014,08:09:00,08:10:00,100036,24
TRIP_VJA_014,08:12:00,08:13:00,100037,25
TRIP_VJA_014,08:15:00,08:16:00,100046,26
TRIP_VJA_014,08:18:00,08:19:00,100007,27
TRIP_VJA_014,08:21:00,08:22:00,100008,28
TRIP_VJA_014,08:24:00,08:25:00,100047,29
TRIP_VJA_015,06:00:00,06:01:00,100040,1
TRIP_VJA_015,06:03:00,06:04:00,100003,2
TRIP_VJA_015,06:06:00,06:07:00,100015,3
TRIP_VJA_015,06:09:00,06:10:00,100016,4
TRIP_VJA_015,06:12:00,06:13:00,100017,5
TRIP_VJA_015,06:15:00,06:16:00,100018,6
TRIP_VJA_015,06:18:00,06:19:00,100019,7
TRIP_VJA_015,06:21:00,06:22:00,100020,8
TRIP_VJA_015,06:24:00,06:25:00,100021,9
TRIP_VJA_015,06:27:00,06:28:00,100022,10
TRIP_VJA_015,07:30:00,07:31:00,100023,11
TRIP_VJA_015,07:33:00,07:34:00,100024,12
TRIP_VJA_015,07:36:00,07:37:00,100025,13
TRIP_VJA_015,07:39:00,07:40:00,100026,14
TRIP_VJA_015,07:42:00,07:43:00,100027,15
TRIP_VJA_015,07:45:00,07:46:00,100028,16
TRIP_VJA_015,07:48:00,07:49:00,100029,17
TRIP_VJA_015,07:51:00,07:52:00,100030,18
TRIP_VJA_015,07:54:00,07:55:00,100031,19
TRIP_VJA_015,07:57:00,07:58:00,100032,20
TRIP_VJA_015,08:00:00,08:01:00,100033,21
TRIP_VJA_015,08:03:00,08:04:00,100034,22
TRIP_VJA_015,08:06:00,08:07:00,100035,23
TRIP_VJA_015,08:09:00,08:10:00,100036,24
TRIP_VJA_015,08:12:00,08:13:00,100037,25
TRIP_VJA_015,08:15:00,08:16:00,100046,26
TRIP_VJA_015,08:18:00,08:19:00,100007,27
TRIP_VJA_015,08:21:00,08:22:00,100008,28
TRIP_VJA_015,08:24:00,08:25:00,100047,29
TRIP_VJA_016,06:00:00,06:01:00,100055,1
TRIP_VJA_016,06:03:00,06:04:00,100056,2
TRIP_VJA_017,06:00:00,06:01:00,100057,1
TRIP_VJA_017,06:03:00,06:04:00,100058,2
TRIP_VJA_018,06:00:00,06:01:00,100059,1
TRIP_VJA_018,06:03:00,06:04:00,100032,2
TRIP_VJA_019,06:00:00,06:01:00,100038,1
TRIP_VJA_019,06:03:00,06:04:00,100060,2
TRIP_VJA_020,06:00:00,06:01:00,100061,1
TRIP_VJA_020,06:03:00,06:04:00,100062,2
TRIP_VJA_021,06:00:00,06:01:00,100003,1
TRIP_VJA_021,06:03:00,06:04:00,100051,2
TRIP_VJA_021,06:06:00,06:07:00,100005,3
TRIP_VJA_021,06:09:00,06:10:00,100006,4
TRIP_VJA_021,06:12:00,06:13:00,100007,5
TRIP_VJA_021,06:15:00,06:16:00,100008,6
TRIP_VJA_021,06:18:00,06:19:00,100009,7
TRIP_VJA_021,06:21:00,06:22:00,100013,8
TRIP_VJA_021,06:24:00,06:25:00,100011,9
TRIP_VJA_021,06:27:00,06:28:00,100053,10
TRIP_VJA_022,06:00:00,06:01:00,100004,1
TRIP_VJA_022,06:03:00,06:04:00,100005,2
TRIP_VJA_022,06:06:00,06:07:00,100006,3
TRIP_VJA_022,06:09:00,06:10:00,100007,4
TRIP_VJA_022,06:12:00,06:13:00,100008,5
TRIP_VJA_022,06:15:00,06:16:00,100009,6
TRIP_VJA_022,06:18:00,06:19:00,100013,7
TRIP_VJA_022,06:21:00,06:22:00,100011,8
TRIP_VJA_022,06:24:00,06:25:00,100063,9
TRIP_VJA_023,06:00:00,06:01:00,100003,1
TRIP_VJA_023,06:03:00,06:04:00,100051,2
TRIP_VJA_023,06:06:00,06:07:00,100005,3
TRIP_VJA_023,06:09:00,06:10:00,100006,4
TRIP_VJA_023,06:12:00,06:13:00,100007,5
TRIP_VJA_023,06:15:00,06:16:00,100008,6
TRIP_VJA_023,06:18:00,06:19:00,100009,7
TRIP_VJA_023,06:21:00,06:22:00,100013,8
TRIP_VJA_023,06:24:00,06:25:00,100011,9
TRIP_VJA_023,06:27:00,06:28:00,100064,10
TRIP_VJA_024,06:00:00,06:01:00,100065,1
TRIP_VJA_024,06:03:00,06:04:00,100003,2
TRIP_VJA_024,06:06:00,06:07:00,100051,3
TRIP_VJA_024,06:09:00,06:10:00,100005,4
TRIP_VJA_024,06:12:00,06:13:00,100006,5
TRIP_VJA_024,06:15:00,06:16:00,100007,6
TRIP_VJA_024,06:18:00,06:19:00,100008,7
TRIP_VJA_024,06:21:00,06:22:00,100047,8
TRIP_VJA_025,06:00:00,06:01:00,100066,1
TRIP_VJA_025,06:03:00,06:04:00,100004,2
TRIP_VJA_025,06:06:00,06:07:00,100067,3
TRIP_VJA_025,06:09:00,06:10:00,100068,4
TRIP_VJA_025,06:12:00,06:13:00,100007,5
TRIP_VJA_025,06:15:00,06:16:00,100046,6
TRIP_VJA_025,06:18:00,06:19:00,100069,7
TRIP_VJA_025,06:21:00,06:22:00,100070,8
TRIP_VJA_025,06:24:00,06:25:00,100071,9
TRIP_VJA_025,06:27:00,06:28:00,100072,10
TRIP_VJA_025,07:30:00,07:31:00,100073,11
TRIP_VJA_025,07:33:00,07:34:00,100004,12
TRIP_VJA_025,07:36:00,07:37:00,100066,13
TRIP_VJA_026,06:00:00,06:01:00,100066,1
TRIP_VJA_026,06:03:00,06:04:00,100004,2
TRIP_VJA_026,06:06:00,06:07:00,100073,3
TRIP_VJA_026,06:09:00,06:10:00,100072,4
TRIP_VJA_026,06:12:00,06:13:00,100071,5
TRIP_VJA_026,06:15:00,06:16:00,100069,6
TRIP_VJA_026,06:18:00,06:19:00,100046,7
TRIP_VJA_026,06:21:00,06:22:00,100007,8
TRIP_VJA_026,06:24:00,06:25:00,100068,9
TRIP_VJA_026,06:27:00,06:28:00,100004,10
TRIP_VJA_026,07:30:00,07:31:00,100066,11
TRIP_VJA_027,06:00:00,06:01:00,100038,1
TRIP_VJA_027,06:03:00,06:04:00,100047,2
TRIP_VJA_028,06:00:00,06:01:00,100042,1
TRIP_VJA_028,06:03:00,06:04:00,100003,2
TRIP_VJA_028,06:06:00,06:07:00,100051,3
TRIP_VJA_028,06:09:00,06:10:00,100017,4
TRIP_VJA_028,06:12:00,06:13:00,100005,5
TRIP_VJA_028,06:15:00,06:16:00,100006,6
TRIP_VJA_028,06:18:00,06:19:00,100007,7
TRIP_VJA_028,06:21:00,06:22:00,100008,8
TRIP_VJA_028,06:24:00,06:25:00,100047,9
TRIP_VJA_029,06:00:00,06:01:00,100042,1
TRIP_VJA_029,06:03:00,06:04:00,100003,2
TRIP_VJA_029,06:06:00,06:07:00,100051,3
TRIP_VJA_029,06:09:00,06:10:00,100017,4
TRIP_VJA_029,06:12:00,06:13:00,100005,5
TRIP_VJA_029,06:15:00,06:16:00,100006,6
TRIP_VJA_029,06:18:00,06:19:00,100007,7
TRIP_VJA_029,06:21:00,06:22:00,100008,8
TRIP_VJA_029,06:24:00,06:25:00,100047,9
TRIP_VJA_029,06:27:00,06:28:00,100010,10
TRIP_VJA_029,07:30:00,07:31:00,100074,11
TRIP_VJA_030,06:00:00,06:01:00,100065,1
TRIP_VJA_030,06:03:00,06:04:00,100003,2
TRIP_VJA_030,06:06:00,06:07:00,100051,3
TRIP_VJA_030,06:09:00,06:10:00,100017,4
TRIP_VJA_030,06:12:00,06:13:00,100005,5
TRIP_VJA_030,06:15:00,06:16:00,100006,6
TRIP_VJA_030,06:18:00,06:19:00,100007,7
TRIP_VJA_030,06:21:00,06:22:00,100008,8
TRIP_VJA_030,06:24:00,06:25:00,100047,9
TRIP_VJA_031,06:00:00,06:01:00,100059,1
TRIP_VJA_031,06:03:00,06:04:00,100047,2
TRIP_VJA_032,06:00:00,06:01:00,100049,1
TRIP_VJA_032,06:03:00,06:04:00,100051,2
TRIP_VJA_032,06:06:00,06:07:00,100075,3
TRIP_VJA_032,06:09:00,06:10:00,100076,4
TRIP_VJA_032,06:12:00,06:13:00,100062,5
TRIP_VJA_032,06:15:00,06:16:00,100077,6
TRIP_VJA_033,06:00:00,06:01:00,100038,1
TRIP_VJA_033,06:03:00,06:04:00,100051,2
TRIP_VJA_033,06:06:00,06:07:00,100075,3
TRIP_VJA_033,06:09:00,06:10:00,100076,4
TRIP_VJA_033,06:12:00,06:13:00,100062,5
TRIP_VJA_033,06:15:00,06:16:00,100078,6
TRIP_VJA_034,06:00:00,06:01:00,100049,1
TRIP_VJA_034,06:03:00,06:04:00,100051,2
TRIP_VJA_034,06:06:00,06:07:00,100075,3
TRIP_VJA_034,06:09:00,06:10:00,100076,4
TRIP_VJA_034,06:12:00,06:13:00,100062,5
TRIP_VJA_035,06:00:00,06:01:00,100079,1
TRIP_VJA_035,06:03:00,06:04:00,100080,2
TRIP_VJA_036,06:00:00,06:01:00,100047,1
TRIP_VJA_036,06:03:00,06:04:00,100081,2
TRIP_VJA_036,06:06:00,06:07:00,100082,3
TRIP_VJA_037,06:00:00,06:01:00,100047,1
TRIP_VJA_037,06:03:00,06:04:00,100081,2
TRIP_VJA_037,06:06:00,06:07:00,100059,3
TRIP_VJA_038,06:00:00,06:01:00,100038,1
TRIP_VJA_038,06:03:00,06:04:00,100051,2
TRIP_VJA_038,06:06:00,06:07:00,100082,3
TRIP_VJA_039,06:00:00,06:01:00,100038,1
TRIP_VJA_039,06:03:00,06:04:00,100083,2
TRIP_VJA_040,06:00:00,06:01:00,100038,1
TRIP_VJA_040,06:03:00,06:04:00,100051,2
TRIP_VJA_040,06:06:00,06:07:00,100084,3
TRIP_VJA_041,06:00:00,06:01:00,100004,1
TRIP_VJA_041,06:03:00,06:04:00,100073,2
TRIP_VJA_041,06:06:00,06:07:00,100072,3
TRIP_VJA_041,06:09:00,06:10:00,100071,4
TRIP_VJA_041,06:12:00,06:13:00,100069,5
TRIP_VJA_041,06:15:00,06:16:00,100046,6
TRIP_VJA_041,06:18:00,06:19:00,100007,7
TRIP_VJA_041,06:21:00,06:22:00,100008,8
TRIP_VJA_041,06:24:00,06:25:00,100047,9
TRIP_VJA_042,06:00:00,06:01:00,100003,1
TRIP_VJA_042,06:03:00,06:04:00,100051,2
TRIP_VJA_042,06:06:00,06:07:00,100068,3
TRIP_VJA_042,06:09:00,06:10:00,100007,4
TRIP_VJA_042,06:12:00,06:13:00,100008,5
TRIP_VJA_042,06:15:00,06:16:00,100085,6
TRIP_VJA_042,06:18:00,06:19:00,100010,7
TRIP_VJA_042,06:21:00,06:22:00,100039,8
TRIP_VJA_043,06:00:00,06:01:00,100004,1
TRIP_VJA_043,06:03:00,06:04:00,100051,2
TRIP_VJA_043,06:06:00,06:07:00,100068,3
TRIP_VJA_043,06:09:00,06:10:00,100007,4
TRIP_VJA_043,06:12:00,06:13:00,100008,5
TRIP_VJA_043,06:15:00,06:16:00,100085,6
TRIP_VJA_043,06:18:00,06:19:00,100010,7
TRIP_VJA_043,06:21:00,06:22:00,100039,8
TRIP_VJA_044,06:00:00,06:01:00,100038,1
TRIP_VJA_044,06:03:00,06:04:00,100051,2
TRIP_VJA_044,06:06:00,06:07:00,100086,3
TRIP_VJA_044,06:09:00,06:10:00,100087,4
TRIP_VJA_045,06:00:00,06:01:00,100049,1
TRIP_VJA_045,06:03:00,06:04:00,100086,2
TRIP_VJA_045,06:06:00,06:07:00,100088,3
TRIP_VJA_046,06:00:00,06:01:00,100089,1
TRIP_VJA_046,06:03:00,06:04:00,100051,2
TRIP_VJA_046,06:06:00,06:07:00,100086,3
TRIP_VJA_046,06:09:00,06:10:00,100011,4
TRIP_VJA_047,06:00:00,06:01:00,100089,1
TRIP_VJA_047,06:03:00,06:04:00,100051,2
TRIP_VJA_047,06:06:00,06:07:00,100081,3
TRIP_VJA_047,06:09:00,06:10:00,100011,4
TRIP_VJA_048,06:00:00,06:01:00,100038,1
TRIP_VJA_048,06:03:00,06:04:00,100090,2
TRIP_VJA_049,06:00:00,06:01:00,100003,1
TRIP_VJA_049,06:03:00,06:04:00,100091,2
TRIP_VJA_049,06:06:00,06:07:00,100092,3
TRIP_VJA_049,06:09:00,06:10:00,100093,4
TRIP_VJA_050,06:00:00,06:01:00,100003,1
TRIP_VJA_050,06:03:00,06:04:00,100004,2
TRIP_VJA_050,06:06:00,06:07:00,100094,3
TRIP_VJA_051,06:00:00,06:01:00,100004,1
TRIP_VJA_051,06:03:00,06:04:00,100006,2
TRIP_VJA_051,06:06:00,06:07:00,100007,3
TRIP_VJA_051,06:09:00,06:10:00,100008,4
TRIP_VJA_051,06:12:00,06:13:00,100009,5
TRIP_VJA_051,06:15:00,06:16:00,100010,6
TRIP_VJA_051,06:18:00,06:19:00,100011,7
TRIP_VJA_051,06:21:00,06:22:00,100095,8
TRIP_VJA_052,06:00:00,06:01:00,100003,1
TRIP_VJA_052,06:03:00,06:04:00,100051,2
TRIP_VJA_052,06:06:00,06:07:00,100006,3
TRIP_VJA_052,06:09:00,06:10:00,100007,4
TRIP_VJA_052,06:12:00,06:13:00,100008,5
TRIP_VJA_052,06:15:00,06:16:00,100009,6
TRIP_VJA_052,06:18:00,06:19:00,100010,7
TRIP_VJA_052,06:21:00,06:22:00,100011,8
TRIP_VJA_052,06:24:00,06:25:00,100095,9
TRIP_VJA_053,06:00:00,06:01:00,100096,1
TRIP_VJA_053,06:03:00,06:04:00,100007,2
TRIP_VJA_053,06:06:00,06:07:00,100014,3
TRIP_VJA_054,06:00:00,06:01:00,100003,1
TRIP_VJA_054,06:03:00,06:04:00,100051,2
TRIP_VJA_054,06:06:00,06:07:00,100081,3
TRIP_VJA_054,06:09:00,06:10:00,100097,4
TRIP_VJA_054,06:12:00,06:13:00,100098,5
TRIP_VJA_055,06:00:00,06:01:00,100003,1
TRIP_VJA_055,06:03:00,06:04:00,100004,2
TRIP_VJA_055,06:06:00,06:07:00,100051,3
TRIP_VJA_055,06:09:00,06:10:00,100081,4
TRIP_VJA_055,06:12:00,06:13:00,100097,5
TRIP_VJA_055,06:15:00,06:16:00,100098,6
TRIP_VJA_056,06:00:00,06:01:00,100099,1
TRIP_VJA_056,06:03:00,06:04:00,100051,2
TRIP_VJA_056,06:06:00,06:07:00,100081,3
TRIP_VJA_056,06:09:00,06:10:00,100007,4
TRIP_VJA_056,06:12:00,06:13:00,100047,5
TRIP_VJA_057,06:00:00,06:01:00,100099,1
TRIP_VJA_057,06:03:00,06:04:00,100051,2
TRIP_VJA_057,06:06:00,06:07:00,100086,3
TRIP_VJA_057,06:09:00,06:10:00,100092,4
TRIP_VJA_058,06:00:00,06:01:00,100100,1
TRIP_VJA_058,06:03:00,06:04:00,100051,2
TRIP_VJA_058,06:06:00,06:07:00,100081,3
TRIP_VJA_058,06:09:00,06:10:00,100007,4
TRIP_VJA_058,06:12:00,06:13:00,100097,5
TRIP_VJA_058,06:15:00,06:16:00,100014,6
TRIP_VJA_059,06:00:00,06:01:00,100004,1
TRIP_VJA_059,06:03:00,06:04:00,100101,2
TRIP_VJA_060,06:00:00,06:01:00,100003,1
TRIP_VJA_060,06:03:00,06:04:00,100081,2
TRIP_VJA_060,06:06:00,06:07:00,100014,3
TRIP_VJA_061,06:00:00,06:01:00,100099,1
TRIP_VJA_061,06:03:00,06:04:00,100086,2
TRIP_VJA_061,06:06:00,06:07:00,100093,3
TRIP_VJA_062,06:00:00,06:01:00,100003,1
TRIP_VJA_062,06:03:00,06:04:00,100051,2
TRIP_VJA_062,06:06:00,06:07:00,100102,3
TRIP_VJA_063,06:00:00,06:01:00,100003,1
TRIP_VJA_063,06:03:00,06:04:00,100051,2
TRIP_VJA_063,06:06:00,06:07:00,100103,3
TRIP_VJA_064,06:00:00,06:01:00,100038,1
TRIP_VJA_064,06:03:00,06:04:00,100104,2
TRIP_VJA_065,06:00:00,06:01:00,100038,1
TRIP_VJA_065,06:03:00,06:04:00,100105,2
TRIP_VJA_066,06:00:00,06:01:00,100038,1
TRIP_VJA_066,06:03:00,06:04:00,100106,2
TRIP_VJA_067,06:00:00,06:01:00,100038,1
TRIP_VJA_067,06:03:00,06:04:00,100107,2
TRIP_VJA_068,06:00:00,06:01:00,100038,1
TRIP_VJA_068,06:03:00,06:04:00,100108,2
TRIP_VJA_069,06:00:00,06:01:00,100038,1
TRIP_VJA_069,06:03:00,06:04:00,100051,2
TRIP_VJA_069,06:06:00,06:07:00,100081,3
TRIP_VJA_069,06:09:00,06:10:00,100109,4
TRIP_VJA_070,06:00:00,06:01:00,100038,1
TRIP_VJA_070,06:03:00,06:04:00,100051,2
TRIP_VJA_070,06:06:00,06:07:00,100081,3
TRIP_VJA_070,06:09:00,06:10:00,100110,4
TRIP_VJA_071,06:00:00,06:01:00,100038,1
TRIP_VJA_071,06:03:00,06:04:00,100051,2
TRIP_VJA_071,06:06:00,06:07:00,100081,3
TRIP_VJA_071,06:09:00,06:10:00,100111,4
TRIP_VJA_072,06:00:00,06:01:00,100038,1
TRIP_VJA_072,06:03:00,06:04:00,100051,2
TRIP_VJA_072,06:06:00,06:07:00,100081,3
TRIP_VJA_072,06:09:00,06:10:00,100112,4
TRIP_VJA_073,06:00:00,06:01:00,100038,1
TRIP_VJA_073,06:03:00,06:04:00,100113,2
TRIP_VJA_074,06:00:00,06:01:00,100038,1
TRIP_VJA_074,06:03:00,06:04:00,100114,2
TRIP_VJA_075,06:00:00,06:01:00,100038,1
TRIP_VJA_075,06:03:00,06:04:00,100115,2
TRIP_VJA_076,06:00:00,06:01:00,100038,1
TRIP_VJA_076,06:03:00,06:04:00,100116,2
TRIP_VJA_077,06:00:00,06:01:00,100049,1
TRIP_VJA_077,06:03:00,06:04:00,100117,2
TRIP_VJA_078,06:00:00,06:01:00,100118,1
TRIP_VJA_078,06:03:00,06:04:00,100119,2
TRIP_VJA_079,06:00:00,06:01:00,100038,1
TRIP_VJA_079,06:03:00,06:04:00,100120,2
TRIP_VJA_080,06:00:00,06:01:00,100038,1
TRIP_VJA_080,06:03:00,06:04:00,100051,2
TRIP_VJA_080,06:06:00,06:07:00,100081,3
TRIP_VJA_080,06:09:00,06:10:00,100121,4
TRIP_VJA_081,06:00:00,06:01:00,100038,1
TRIP_VJA_081,06:03:00,06:04:00,100051,2
TRIP_VJA_081,06:06:00,06:07:00,100081,3
TRIP_VJA_081,06:09:00,06:10:00,100122,4
TRIP_VJA_082,06:00:00,06:01:00,100118,1
TRIP_VJA_082,06:03:00,06:04:00,100123,2
TRIP_VJA_083,06:00:00,06:01:00,100038,1
TRIP_VJA_083,06:03:00,06:04:00,100124,2
TRIP_VJA_084,06:00:00,06:01:00,100014,1
TRIP_VJA_084,06:03:00,06:04:00,100093,2
TRIP_VJA_085,06:00:00,06:01:00,100108,1
TRIP_VJA_085,06:03:00,06:04:00,100081,2
TRIP_VJA_085,06:06:00,06:07:00,100014,3
TRIP_VJA_086,06:00:00,06:01:00,100038,1
TRIP_VJA_086,06:03:00,06:04:00,100051,2
TRIP_VJA_086,06:06:00,06:07:00,100081,3
TRIP_VJA_086,06:09:00,06:10:00,100011,4
TRIP_VJA_086,06:12:00,06:13:00,100125,5
TRIP_VJA_087,06:00:00,06:01:00,100038,1
TRIP_VJA_087,06:03:00,06:04:00,100051,2
TRIP_VJA_087,06:06:00,06:07:00,100071,3
TRIP_VJA_087,06:09:00,06:10:00,100093,4
TRIP_VJA_087,06:12:00,06:13:00,100126,5
TRIP_VJA_088,06:00:00,06:01:00,100003,1
TRIP_VJA_088,06:03:00,06:04:00,100051,2
TRIP_VJA_088,06:06:00,06:07:00,100081,3
TRIP_VJA_088,06:09:00,06:10:00,100007,4
TRIP_VJA_088,06:12:00,06:13:00,100071,5
TRIP_VJA_088,06:15:00,06:16:00,100093,6
TRIP_VJA_088,06:18:00,06:19:00,100126,7
TRIP_VJA_089,06:00:00,06:01:00,100004,1
TRIP_VJA_089,06:03:00,06:04:00,100127,2
TRIP_VJA_089,06:06:00,06:07:00,100081,3
